ticker,div_consec_years
AWR,69
DOV,68
GPC,67
NWN,67
PG,67
PH,67
EMR,66
MMM,65
CINF,63
JNJ,61
KO,61
LOW,61
CL,60
ITW,60
NDSN,60
HRL,57
TR,57
CWT,56
FRT,56
SWK,56
TGT,55
ABM,53
CBSH,55
SCL,55
FUL,54
BKH,54
SYY,53
GWW,52
MSA,52
NFG,52
PPG,52
UVV,52
BDX,51
KMB,51
LEG,51
PEP,51
TNC,51
NUE,50
SPGI,50
WMT,50
ED,49
RPM,49
ADM,49
TDS,49
ADP,48
MCD,48
MGEE,48
RLI,48
UBSI,48
CSL,47
CLX,46
MDT,45
SHW,45
BEN,43
CTBI,43
ORI,42
AFL,41
APD,41
SON,41
ATO,39
CTAS,39
BRC,38
DCI,37
TMP,37
TROW,37
UHT,37
UGI,36
CVX,36
SRCE,36
THFF,34
JKHY,33
ERIE,32
MDU,32
WTRG,32
UMBF,31
BMI,31
CBU,31
FELE,31
GD,31
MGRC,31
SEIC,31
AOS,30
AROW,30
CAT,30
CFR,30
ECL,30
O,30
RTX,30
SYK,30
TRI,30
WABC,30
WST,30
ATR,29
BANF,29
BRO,29
CB,29
LIN,29
NEE,29
ROP,29
SBSI,29
4452.T,36
9433.T,23
6370.T,21
9843.T,21
