ticker,name,div_per_share
AAPL,アップル,1.01
ADI,アナログ・デバイセズ,3.95
ADP,オートマチック・データ・プロセッシング (ADP),6.19
AEP,アメリカン・エレクトリック・パワー,3.76
AMAT,アプライド　マテリアルズ,1.71
AMGN,アムジェン,9.51
ASML,ASMLホールディング,8.62
AVGO,ブロードコム,2.37
AXP,アメリカン・エキスプレス,3.16
BKNG,ブッキング　ホールディングス,38.4
BKR,ベーカー・ヒューズ・カンパニー,0.93
CAT,キャタピラー,5.84
CCEP,コカ・コーラ・ユーロパシフィック・パートナーズ,1.6
CEG,コンステレーション・エネルギー,1.54
CMCSA,コムキャスト,1.32
COST,コストコホールセール,8.98
CRM,セールスフォース,1.66
CSCO,シスコシステムズ,1.63
CSX,CSX,0.52
CTAS,シンタス,1.56
CTSH,コグニザント・テクノロジー・ソリューションズ,1.24
CVX,シェブロン,6.87
DIS,ウォルト・ディズニー,1.0
EA,エレクトロニック・アーツ,0.76
EXC,エクセロン,1.62
FANG,ダイヤモンドバック・エネルギー,4.01
FAST,ファスナル,0.88
GEHC,GEヘルスケア・テクノロジーズ,0.14
GILD,ギリアド・サイエンシズ,3.17
GOOG,アルファベット クラスC,0.82
GOOGL,アルファベット クラスA,0.82
GS,ゴールドマン・サックス・グループ,14.01
HD,ホームデポ,6.91
HON,ハネウェル　インターナショナル,4.58
IBM,IBM,6.72
INTU,インテュイット,4.03
JNJ,ジョンソン・エンド・ジョンソン,5.14
JPM,JPモルガン・チェース,5.78
KDP,キューリグ・ドクターペッパー,0.92
KHC,クラフト・ハインツ,1.6
KLAC,KLAコーポレーション,6.7
KO,コカ・コーラ,2.06
LIN,リンデ,6.02
LRCX,ラムリサーチ,0.92
MAR,マリオット・インターナショナル,2.62
MCD,マクドナルド,7.15
MCHP,マイクロチップ・テクノロジー,1.82
MDLZ,モンデリーズ・インターナショナル,1.94
META,メタ・プラットフォームズ,2.1
MMM,スリーエム,2.91
MPWR,モノリシック・パワー・システムズ,6.21
MRK,メルク,3.24
MRVL,マーベル・テクノロジー・グループ,0.24
MSFT,マイクロソフト,3.33
MU,マイクロン　テクノロジー,0.46
NKE,ナイキ,1.57
NVDA,エヌビディア,0.04
NXPI,NXPセミコンダクターズ,4.05
ODFL,オールド・ドミニオン・フレイト・ライン,1.12
PAYX,ペイチェックス,4.04
PCAR,パッカー,2.72
PEP,ペプシコ,5.63
PG,プロクター・アンド・ギャンブル,4.07
PYPL,ペイパル,0.14
QCOM,クアルコム,3.48
REGN,リジェネロン・ファーマシューティカルズ,3.5
ROP,ローパー・テクノロジーズ,3.41
ROST,ロス・ストアーズ,1.62
SBUX,スターバックス,2.45
SHW,シャーウィン・ウィリアムズ,3.16
STX,シーゲイト・テクノロジー,2.87
TMUS,T-モバイル・US,3.68
TRI,トムソン・ロイター,2.43
TRV,トラベラーズ,4.36
TXN,テキサス・インスツルメンツ,5.51
UNH,ユナイテッドヘルス・グループ,8.73
V,ビザ,2.37
VRSK,ベリスク・アナリティックス,1.8
VZ,ベライゾン・コミュニケーションズ,2.74
WDC,ウエスタンデジタル,0.11
WMT,ウォルマート,0.93
XEL,エクセル・エナジー,2.27
